zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Stable,99.6,0.1,0.3,99.6,Stable,True
z_24.0_-18.0,2024,Stable,99.6,0.1,0.3,99.6,Stable,True
z_24.0_-18.0,2025,Stable,99.5,0.1,0.4,99.5,Stable,True
z_24.0_-19.5,2023,Stable,99.5,0.0,0.5,99.5,Stable,True
z_24.0_-19.5,2024,Stable,99.4,0.1,0.5,99.4,Stable,True
z_24.0_-19.5,2025,Stable,98.0,1.6,0.4,98.0,Stable,True
z_27.0_-15.0,2023,Stable,95.8,1.5,2.7,95.8,Stable,True
z_27.0_-15.0,2024,Stable,77.9,6.7,15.4,77.9,Stable,True
z_27.0_-15.0,2025,Stable,80.6,3.4,16.0,80.6,Stable,True
z_27.0_-16.5,2023,Augmentation,54.8,54.8,40.7,4.5,Diminution,False
z_27.0_-16.5,2024,Diminution,56.5,39.2,56.5,4.3,Augmentation,False
z_27.0_-16.5,2025,Diminution,50.2,45.1,50.2,4.7,Stable,False
z_28.5_-13.5,2023,Diminution,85.8,0.8,85.8,13.4,Diminution,True
z_28.5_-13.5,2024,Diminution,85.8,0.8,85.8,13.4,Stable,False
z_28.5_-13.5,2025,Diminution,83.8,0.8,83.8,15.4,Diminution,True
z_28.5_-15.0,2023,Diminution,62.8,18.8,62.8,18.4,Stable,False
z_28.5_-15.0,2024,Diminution,66.4,13.6,66.4,20.0,Stable,False
z_28.5_-15.0,2025,Diminution,67.0,19.0,67.0,14.1,Stable,False
z_28.5_-16.5,2023,Diminution,53.6,33.0,53.6,13.4,Stable,False
z_28.5_-16.5,2024,Diminution,54.7,22.0,54.7,23.3,Stable,False
z_28.5_-16.5,2025,Diminution,49.9,32.1,49.9,17.9,Stable,False
z_30.0_-10.5,2023,Stable,96.9,1.4,1.7,96.9,Stable,True
z_30.0_-10.5,2024,Stable,95.4,2.6,2.0,95.4,Stable,True
z_30.0_-10.5,2025,Stable,77.2,9.3,13.5,77.2,Stable,True
z_30.0_-13.5,2023,Diminution,85.0,2.0,85.0,13.0,Diminution,True
z_30.0_-13.5,2024,Diminution,83.9,2.1,83.9,13.9,Stable,False
z_30.0_-13.5,2025,Diminution,82.7,1.6,82.7,15.7,Stable,False
z_30.0_-15.0,2023,Diminution,75.1,0.9,75.1,24.0,Diminution,True
z_30.0_-15.0,2024,Diminution,76.4,0.9,76.4,22.6,Diminution,True
z_30.0_-15.0,2025,Diminution,77.8,1.3,77.8,20.9,Stable,False
z_30.0_28.5,2023,Diminution,44.4,34.8,44.4,20.8,Stable,False
z_30.0_28.5,2024,Diminution,47.1,23.9,47.1,29.0,Diminution,True
z_30.0_28.5,2025,Diminution,49.4,28.5,49.4,22.1,Diminution,True
z_30.0_30.0,2023,Stable,95.9,2.8,1.3,95.9,Stable,True
z_30.0_30.0,2024,Stable,97.8,0.4,1.8,97.8,Stable,True
z_30.0_30.0,2025,Stable,98.5,0.2,1.3,98.5,Stable,True
z_30.0_31.5,2023,Augmentation,47.7,47.7,38.3,14.0,Augmentation,True
