fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,56.8,55.8,51.8
2,2017-2018,2019,2006,1060,55.2,55.6,50.3
3,2017-2019,2020,3066,1092,54.1,56.5,48.2
4,2017-2020,2021,4158,1115,54.7,52.3,44.8
5,2017-2021,2022,5273,571,66.0,61.7,55.0
