fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,1030,1119,59.0,54.7,45.1
2,2016-2017,2018,2149,1073,61.0,54.4,46.4
3,2016-2018,2019,3222,1113,58.0,54.1,44.7
4,2016-2019,2020,4335,1086,63.9,57.0,46.3
5,2016-2020,2021,5421,874,64.4,56.6,45.7
6,2016-2021,2022,6295,771,66.9,57.3,47.3
