fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2019-2019,2020,1736,1802,73.0,69.3,60.3
2,2019-2020,2021,3538,1845,77.8,75.2,66.1
3,2019-2021,2022,5383,1398,79.2,77.3,67.5
