zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Diminution,73.3,6.2,73.3,20.5,Diminution,True
z_24.0_-18.0,2024,Diminution,71.2,8.9,71.2,19.9,Stable,False
z_24.0_-18.0,2025,Diminution,60.2,16.9,60.2,22.8,Diminution,True
z_24.0_-19.5,2023,Diminution,82.0,1.8,82.0,16.2,Stable,False
z_24.0_-19.5,2024,Diminution,67.6,11.0,67.6,21.4,Diminution,True
z_24.0_-19.5,2025,Diminution,77.8,2.9,77.8,19.2,Diminution,True
z_27.0_-15.0,2023,Diminution,56.7,5.6,56.7,37.7,Augmentation,False
z_27.0_-15.0,2024,Diminution,54.8,7.5,54.8,37.7,Diminution,True
z_27.0_-15.0,2025,Diminution,63.6,7.8,63.6,28.5,Diminution,True
z_27.0_-16.5,2023,Augmentation,65.8,65.8,18.4,15.8,Diminution,False
z_27.0_-16.5,2024,Augmentation,58.8,58.8,29.4,11.8,Augmentation,True
z_27.0_-16.5,2025,Augmentation,63.3,63.3,22.6,14.1,Augmentation,True
z_28.5_-13.5,2023,Diminution,72.5,2.2,72.5,25.3,Diminution,True
z_28.5_-13.5,2024,Diminution,72.5,2.2,72.5,25.3,Stable,False
z_28.5_-13.5,2025,Diminution,63.3,8.0,63.3,28.7,Diminution,True
z_28.5_-15.0,2023,Stable,46.3,25.2,28.5,46.3,Augmentation,False
z_28.5_-15.0,2024,Stable,49.5,24.4,26.1,49.5,Stable,True
z_28.5_-15.0,2025,Stable,43.4,26.3,30.3,43.4,Stable,True
z_28.5_-16.5,2023,Augmentation,51.7,51.7,24.7,23.5,Diminution,False
z_28.5_-16.5,2024,Augmentation,45.1,45.1,28.8,26.1,Stable,False
z_28.5_-16.5,2025,Augmentation,43.6,43.6,28.8,27.6,Stable,False
z_30.0_-10.5,2023,Stable,51.8,14.0,34.2,51.8,Diminution,False
z_30.0_-10.5,2024,Stable,46.2,10.7,43.0,46.2,Augmentation,False
z_30.0_-10.5,2025,Stable,51.2,12.5,36.3,51.2,Diminution,False
z_30.0_-13.5,2023,Diminution,64.4,5.4,64.4,30.2,Diminution,True
z_30.0_-13.5,2024,Diminution,66.0,5.8,66.0,28.1,Stable,False
z_30.0_-13.5,2025,Diminution,52.1,8.0,52.1,40.0,Stable,False
z_30.0_-15.0,2023,Diminution,62.2,13.6,62.2,24.3,Diminution,True
z_30.0_-15.0,2024,Diminution,65.7,7.4,65.7,26.8,Diminution,True
z_30.0_-15.0,2025,Diminution,68.8,3.8,68.8,27.5,Stable,False
z_30.0_28.5,2023,Stable,44.1,31.4,24.5,44.1,Diminution,False
z_30.0_28.5,2024,Stable,42.8,37.0,20.2,42.8,Diminution,False
z_30.0_28.5,2025,Stable,44.7,34.6,20.7,44.7,Diminution,False
z_30.0_30.0,2023,Diminution,50.3,12.3,50.3,37.3,Diminution,True
z_30.0_30.0,2024,Diminution,57.2,7.2,57.2,35.6,Diminution,True
z_30.0_30.0,2025,Stable,44.6,10.7,44.6,44.6,Stable,True
z_30.0_31.5,2023,Augmentation,44.9,44.9,15.1,39.9,Augmentation,True
z_30.0_31.5,2024,Augmentation,66.5,66.5,12.0,21.5,Stable,False
z_30.0_31.5,2025,Augmentation,60.1,60.1,11.6,28.2,Diminution,False
z_31.5_-15.0,2023,Diminution,75.2,1.2,75.2,23.6,Diminution,True
z_31.5_-15.0,2024,Diminution,67.9,5.1,67.9,27.0,Stable,False
z_31.5_-15.0,2025,Diminution,55.2,10.6,55.2,34.1,Diminution,True
z_31.5_-18.0,2023,Stable,56.1,31.5,12.4,56.1,Augmentation,False
z_31.5_-18.0,2024,Stable,55.4,31.4,13.2,55.4,Diminution,False
z_31.5_-18.0,2025,Stable,53.8,33.4,12.8,53.8,Diminution,False
z_31.5_31.5,2023,Stable,54.3,23.8,21.8,54.3,Diminution,False
z_31.5_31.5,2024,Stable,41.5,32.8,25.8,41.5,Diminution,False
z_31.5_31.5,2025,Stable,49.7,26.2,24.1,49.7,Diminution,False
