zone,annee,tendance,confiance,proba_Augmentation,proba_Diminution,proba_Stable,tendance_reelle,correct
z_24.0_-18.0,2023,Stable,99.0,0.6,0.3,99.0,Stable,True
z_24.0_-18.0,2024,Stable,98.9,0.6,0.5,98.9,Stable,True
z_24.0_-18.0,2025,Stable,99.0,0.6,0.5,99.0,Stable,True
z_24.0_-19.5,2023,Stable,99.5,0.2,0.4,99.5,Stable,True
z_24.0_-19.5,2024,Stable,99.5,0.1,0.4,99.5,Stable,True
z_24.0_-19.5,2025,Stable,98.2,1.3,0.5,98.2,Stable,True
z_27.0_-15.0,2023,Stable,97.0,1.3,1.7,97.0,Stable,True
z_27.0_-15.0,2024,Stable,82.0,6.7,11.3,82.0,Stable,True
z_27.0_-15.0,2025,Stable,85.6,3.6,10.8,85.6,Stable,True
z_27.0_-16.5,2023,Augmentation,53.5,53.5,43.0,3.4,Diminution,False
z_27.0_-16.5,2024,Diminution,56.9,39.6,56.9,3.4,Augmentation,False
z_27.0_-16.5,2025,Augmentation,45.7,45.7,50.9,3.5,Stable,False
z_28.5_-13.5,2023,Stable,97.6,0.4,2.0,97.6,Stable,True
z_28.5_-13.5,2024,Stable,97.6,0.4,2.0,97.6,Stable,True
z_28.5_-13.5,2025,Stable,97.9,0.4,1.7,97.9,Stable,True
z_28.5_-15.0,2023,Diminution,61.4,21.8,61.4,16.8,Stable,False
z_28.5_-15.0,2024,Diminution,64.8,16.8,64.8,18.4,Stable,False
z_28.5_-15.0,2025,Diminution,68.9,18.9,68.9,12.2,Stable,False
z_28.5_-16.5,2023,Diminution,55.0,33.1,55.0,11.9,Stable,False
z_28.5_-16.5,2024,Diminution,59.3,16.7,59.3,24.0,Stable,False
z_28.5_-16.5,2025,Diminution,47.3,32.8,47.3,20.0,Stable,False
z_30.0_-10.5,2023,Stable,97.6,1.4,1.0,97.6,Stable,True
z_30.0_-10.5,2024,Stable,96.6,1.8,1.6,96.6,Stable,True
z_30.0_-10.5,2025,Stable,79.9,8.7,11.4,79.9,Stable,True
z_30.0_-13.5,2023,Stable,97.7,0.8,1.5,97.7,Stable,True
z_30.0_-13.5,2024,Stable,96.9,1.6,1.5,96.9,Stable,True
z_30.0_-13.5,2025,Stable,95.3,2.8,1.9,95.3,Stable,True
z_30.0_-15.0,2023,Stable,88.6,3.8,7.6,88.6,Stable,True
z_30.0_-15.0,2024,Stable,87.5,3.0,9.4,87.5,Stable,True
z_30.0_-15.0,2025,Stable,84.9,0.4,14.7,84.9,Stable,True
z_30.0_28.5,2023,Diminution,48.4,35.0,48.4,16.7,Stable,False
z_30.0_28.5,2024,Diminution,46.7,23.9,46.7,29.3,Diminution,True
z_30.0_28.5,2025,Diminution,45.9,32.9,45.9,21.2,Diminution,True
z_30.0_30.0,2023,Stable,96.2,2.6,1.2,96.2,Stable,True
z_30.0_30.0,2024,Stable,98.0,0.5,1.5,98.0,Stable,True
z_30.0_30.0,2025,Stable,98.4,0.4,1.1,98.4,Stable,True
z_30.0_31.5,2023,Augmentation,47.8,47.8,38.2,14.0,Stable,False
z_30.0_31.5,2024,Augmentation,52.5,52.5,33.6,13.9,Stable,False
z_30.0_31.5,2025,Augmentation,52.3,52.3,34.8,13.0,Diminution,False
z_31.5_-15.0,2023,Stable,99.5,0.1,0.5,99.5,Stable,True
z_31.5_-15.0,2024,Stable,99.6,0.1,0.4,99.6,Stable,True
z_31.5_-15.0,2025,Stable,98.8,0.8,0.4,98.8,Stable,True
z_31.5_-18.0,2023,Augmentation,44.9,44.9,6.1,49.0,Stable,False
z_31.5_-18.0,2024,Augmentation,54.4,54.4,5.2,40.4,Stable,False
z_31.5_-18.0,2025,Augmentation,43.7,43.7,4.6,51.6,Stable,False
z_31.5_31.5,2023,Stable,66.7,26.3,7.0,66.7,Stable,True
z_31.5_31.5,2024,Stable,60.0,36.1,3.9,60.0,Stable,True
z_31.5_31.5,2025,Augmentation,40.2,40.2,3.7,56.2,Stable,False
z_33.0_-13.5,2023,Stable,98.3,1.4,0.3,98.3,Stable,True
z_33.0_-13.5,2024,Stable,94.4,4.2,1.4,94.4,Stable,True
z_33.0_-13.5,2025,Stable,98.3,1.4,0.3,98.3,Stable,True
z_33.0_-9.0,2023,Diminution,54.4,25.7,54.4,19.9,Stable,False
z_33.0_-9.0,2024,Diminution,47.6,24.4,47.6,28.0,Stable,False
z_33.0_-9.0,2025,Diminution,55.0,18.2,55.0,26.9,Stable,False
z_33.0_10.5,2023,Stable,99.2,0.4,0.4,99.2,Stable,True
z_33.0_10.5,2024,Stable,99.2,0.4,0.4,99.2,Stable,True
z_33.0_10.5,2025,Stable,99.2,0.4,0.4,99.2,Stable,True
z_33.0_18.0,2023,Stable,99.2,0.5,0.3,99.2,Stable,True
z_33.0_18.0,2024,Stable,99.2,0.5,0.3,99.2,Stable,True
z_33.0_18.0,2025,Stable,99.2,0.5,0.3,99.2,Stable,True
z_33.0_25.5,2023,Stable,96.8,0.3,2.9,96.8,Stable,True
z_33.0_25.5,2024,Stable,96.8,0.3,2.9,96.8,Stable,True
z_33.0_25.5,2025,Stable,97.3,0.5,2.2,97.3,Stable,True
z_34.5_-1.5,2023,Stable,81.6,16.3,2.0,81.6,Stable,True
z_34.5_-1.5,2024,Stable,62.3,33.1,4.6,62.3,Stable,True
z_34.5_-1.5,2025,Stable,71.7,21.6,6.7,71.7,Stable,True
z_34.5_-10.5,2023,Stable,99.1,0.6,0.3,99.1,Stable,True
z_34.5_-10.5,2024,Stable,99.1,0.6,0.3,99.1,Stable,True
z_34.5_-10.5,2025,Stable,99.1,0.6,0.2,99.1,Stable,True
z_34.5_-4.5,2023,Diminution,56.1,18.9,56.1,25.1,Stable,False
z_34.5_-4.5,2024,Diminution,60.3,17.1,60.3,22.6,Stable,False
