fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,69.4,70.1,63.0
2,2017-2018,2019,2006,1060,67.1,67.1,57.8
3,2017-2019,2020,3066,1092,72.8,71.0,63.7
4,2017-2020,2021,4158,1115,74.7,71.4,64.6
5,2017-2021,2022,5273,571,78.5,77.5,70.4
