fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,57.0,54.0,46.3
2,2016-2017,2018,6005,3419,57.8,53.5,46.2
3,2016-2018,2019,9424,3611,58.3,54.0,45.6
4,2016-2019,2020,13035,3783,56.6,56.3,44.8
5,2016-2020,2021,16818,3929,65.2,59.4,49.1
6,2016-2021,2022,20747,3669,68.1,57.9,49.4
