fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2019-2019,2020,1736,1802,73.4,70.5,61.1
2,2019-2020,2021,3538,1845,78.0,75.2,66.5
3,2019-2021,2022,5383,1398,79.2,77.0,67.5
