fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2019-2019,2020,1736,1802,73.4,70.3,61.0
2,2019-2020,2021,3538,1845,78.2,76.0,67.0
3,2019-2021,2022,5383,1398,79.4,77.3,67.8
