fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2016-2016,2017,2844,3161,80.5,75.3,64.1
2,2016-2017,2018,6005,3419,79.0,76.5,61.2
3,2016-2018,2019,9424,3611,79.4,77.7,62.1
4,2016-2019,2020,13035,3783,82.3,81.8,63.8
5,2016-2020,2021,16818,3929,86.9,80.9,68.1
6,2016-2021,2022,20747,3669,86.8,81.8,67.6
