fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2019-2019,2020,1736,1802,54.2,51.8,44.0
2,2019-2020,2021,3538,1845,58.8,53.5,45.0
3,2019-2021,2022,5383,1398,66.1,57.6,50.8
