fold,periodes_train,periode_val,n_train,n_val,accuracy,balanced_accuracy,f1_macro
1,2017-2017,2018,980,1026,56.5,55.4,49.9
2,2017-2018,2019,2006,1060,56.8,54.4,48.9
3,2017-2019,2020,3066,1092,52.9,55.1,45.9
4,2017-2020,2021,4158,1115,55.8,51.4,43.7
5,2017-2021,2022,5273,571,66.2,59.8,53.1
